47.89.18.26 - - [01/Sep/2017:12:30:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A29+OR+categoryIdParent%3A29+OR+categoryIdGrandpa%3A29&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 12536
47.89.18.26 - - [01/Sep/2017:12:30:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A29+OR+categoryIdParent%3A29+OR+categoryIdGrandpa%3A29&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 38225
47.89.18.26 - - [01/Sep/2017:12:30:49 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 22087
47.89.18.26 - - [01/Sep/2017:12:30:52 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&fq=goodsPropString%3A8.4%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 22108
47.89.18.26 - - [01/Sep/2017:12:30:52 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&fq=goodsPropString%3A8.4%E5%BA%A6&wt=xml&version=2.2 HTTP/1.1" 200 22130
47.89.18.26 - - [01/Sep/2017:12:30:53 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&fq=goodsPropString%3A8.4%E5%BA%A6+AND+goodsPropString%3A1907&wt=xml&version=2.2 HTTP/1.1" 200 1936
47.89.18.26 - - [01/Sep/2017:12:30:53 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&fq=goodsPropString%3A8.4%E5%BA%A6+AND+goodsPropString%3A1907&wt=xml&version=2.2 HTTP/1.1" 200 1914
47.89.18.26 - - [01/Sep/2017:12:30:56 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&fq=goodsPropString%3A8.4%E5%BA%A6+AND+goodsPropString%3A1907+AND+goodsPropString%3A%E5%85%AB%E6%88%90%E6%96%B0&wt=xml&version=2.2 HTTP/1.1" 200 1944
47.89.18.26 - - [01/Sep/2017:12:30:56 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&fq=goodsPropString%3A8.4%E5%BA%A6+AND+goodsPropString%3A1907+AND+goodsPropString%3A%E5%85%AB%E6%88%90%E6%96%B0&wt=xml&version=2.2 HTTP/1.1" 200 1966
47.89.18.26 - - [01/Sep/2017:12:30:58 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=10&wt=xml&version=2.2 HTTP/1.1" 200 13432
47.89.18.26 - - [01/Sep/2017:12:30:58 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&wt=xml&version=2.2 HTTP/1.1" 200 22087
47.89.18.26 - - [01/Sep/2017:12:30:58 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&wt=xml&version=2.2 HTTP/1.1" 200 22065
47.89.18.26 - - [01/Sep/2017:12:31:02 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&fq=goodsPropString%3A8.4%3Fo%7C&wt=xml&version=2.2 HTTP/1.1" 200 466
47.89.18.26 - - [01/Sep/2017:12:31:02 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&fq=goodsPropString%3A8.4%3Fo%7C&wt=xml&version=2.2 HTTP/1.1" 200 444
47.89.18.26 - - [01/Sep/2017:12:31:03 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&rows=10000&fq=goodsPropString%3A8.4%3Fo%7C+AND+goodsPropString%3A1907&wt=xml&version=2.2 HTTP/1.1" 200 469
47.89.18.26 - - [01/Sep/2017:12:31:03 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&fq=goodsPropString%3A8.4%3Fo%7C+AND+goodsPropString%3A1907&wt=xml&version=2.2 HTTP/1.1" 200 491
47.89.18.26 - - [01/Sep/2017:12:31:06 +0800] "GET /solr/yesmywine/select?q=categoryId%3A30+OR+categoryIdParent%3A30+OR+categoryIdGrandpa%3A30&start=0&rows=60&fq=goodsPropString%3A8.4%3Fo%7C+AND+goodsPropString%3A1907+AND+goodsPropString%3A%3F%3F%3F%3F%3F%3F%3F%3F%EF%BF%BD%EF%BF%BD&wt=xml&version=2.2 HTTP/1.1" 200 526
